cluster,Predicted SM
Hf2Cu2S1O1+,3
Ir2Y1Ti1N3C1,2
Zn2Re2,4
Os1Ta2Zr1O2N1+,2
La2Tc2O1N1+,3
W1Y1Fe1Sc1O2+,4
Co1V3N1-,3
Hg1Hf1Tc1Co1O1C3-,2
Ag2Pd1Zn1S1N2-,2
Ir1W1Ta1Zr1O3C1+,2
Hf1Ru1Fe1Mn1O2N1+,8
Ta1Hf1Zr1Ni1O4+,1
La1Y1Cu1V1S2-,4
Ir1Mo1Nb1Zr1N3C1,2
Ta3Zr1O4-,3
Pd1Cr3S2C1,11
Pt1Os2Ru1O2N1C1+,3
Ta1Nb1Zr2S1O3+,2
Hf2Ru1Ti1O4+,2
Ir1W1Cd1V1O3C1-,2
Re1W1Mo1Co1S2C1+,2
Ag3Mo1N1C1+,4
Au2Pt1Pd1N2C1,1
Ru1Zr1Zn1V1O2,2
Hf1Ag2Zr1S1C1-,1
Ir1Hf2Ti1O4-,3
Ir1Zr3O1C3+,1
Pt1Ta1La1Nb1N1+,2
Ru1Fe3O1N1-,11
Hg1Os1Pd1Fe1O3C1-,4
W1Ag1Zr1Mn1S1O1N1C1,4
Cd3Sc1C3+,1
Zn4S1,1
Pt1Ta1V2S2-,2
Ta1Ag1Mn2S1N2C1,9
Pt1Ir2Zn1S1O1N2+,2
Ta3Ni1O4+,1
Hf1Y1Ni1V1S1O1-,4
Ir1Ta1Nb1Y1O4+,2
Ir1Nb1Ni2S1C1-,2
Re1Ta1Fe1Cr1S1C2-,6
Pt1Ta1Ag1Rh1N3-,1
Os1Ta1Nb1Zr1O3N1,2
Ta2Ru1Cr1O1N1C2,5
Pd1Mo1Cu1Ti1S2,2
Hg1W1Ru1Cu1N1C1+,2
Re1Pd1Zr1Ti1O1N2+,2
Hg1Ta1Ag1Nb1N1+,2
Ta2Cd1Mn1N1C2-,5
La1Nb1Ni1Sc1N1C3,1
Pd1Sc3S1-,3
Cd1Ti3S3,3
W1Tc1Cu1V1S1C1,2
Au1La1Fe1Ti1S1N1,4
Cd1Tc1Mo1Mn1S2N1+,5
Ag1Co1Fe1Mn1N2C1,9
W1La2Rh1O1N3-,2
Mo1Zr1Cu1Sc1S2O1N1-,1
Ta1Zr3O2N1C1+,2
