cluster,AEPA
Cd1Ti1S2+,2.4953
Cd1Ti1S2-,2.7313
Cd2O1C1,2.7083
Hg1Cr1S2-,2.1741
Cd1Y1O2-,3.4012
Os1Rh1O2-,4.1807
Re1Co1S1O1,3.5716
Au1Mn1S1N1-,2.6530
Cd1Y1O2+,3.2124
Tc1W1+,2.5715
Hf1Cu1S1N1+,3.3384
Au1Ni1N1-,1.8599
Au1Ni1N1+,1.8315
W1Zn1N2,2.9999
Zr1Co1S2-,3.6141
Hf1Cu1S1N1-,3.3430
Au1Mn1S1N1+,2.3132
Ir1Cu1C1+,3.1295
Ir1Cu1C1-,3.1076
Nb1Mo1,1.9872
Re1V1O1-,3.1455
Cd1Sc1C2-,3.2134
Cr1Sc1S1+,2.4850
Cd1Sc1C2+,3.2430
Cr1Sc1S1-,2.0528
Tc1Fe1O2+,3.5727
Pd1Ni1O1-,2.3477
Hg1Cr1S2+,1.9327
La1Rh1S1N1,3.4514
Ti1Zr1-,1.5878
Pd1Ni1O1+,2.3297
Ag1Sc1N1C1+,3.4429
Zr1Cd1+,0.4254
Ag1Sc1N1C1-,3.6222
Ni1Cr1C2+,3.6946
Ni1Cr1C2-,3.5400
Os1V1S1C1,3.8538
Au1Cd1O1N1+,2.5578
W2N2-,4.2737
Ta1Mn1N2+,4.0489
Rh1Mn1O2-,3.3643
Ta1Mn1N2-,4.0430
Zn1Hg1,0.0352
Au1Cd1O1N1-,2.0049
Co1Fe1O1C1,3.7035
Ru1Tc1N1C1,3.8375
Zr1Cr1N1C1,3.7770
Tc1Ti1N2-,4.0398
Tc1Mn1S1N1-,3.1236
Zr1Co1S1N1-,3.6219
Ti2O2+,4.6733
Os1Nb1O2,4.4510
Y1Fe1S1N1+,3.5443
Zn2N1C1+,3.2032
Ag1La1-,0.8069
Mo1Y1C1+,3.2273
La1Mn1O1N1-,3.6637
Mo1Y1C1-,2.9231
La1Mn1O1N1+,3.8117
Tc1Ti1S1,3.2626
Ag1La1+,1.0343
Ag1Nb1C1+,2.8095
Hg1La1O2+,2.6628
Co1Sc1C1-,2.6669
W1Cr1C1,2.7998
Co1Sc1C1+,2.8296
Zr1Fe1S1O1,4.0630
Ag1Nb1C1-,2.5379
Cr1Zn1,0.2345
Y1Mn1C2-,3.7136
Re1Tc1C2-,4.2748
Os1Rh1O1-,3.4063
Ag1Zn1N1C1,3.1575
Cu1Fe1C2,3.5024
Hg1Ti1C2+,3.0972
Y1Mn1C2+,3.8543
Cu1Fe1C1,2.3349
Pt1La1S2-,3.5628
W1Cr1O1+,3.1430
Pt1La1S2+,3.3672
W1Cr1O1-,2.9517
Os2S1O1,3.7583
W1Fe1O1C1,3.9115
Nb1Co1S1O1+,3.9892
W1Hf1S1+,3.3308
Nb1Fe1O1N1-,4.0785
Nb1Co1S1O1-,3.8797
Os1Zr1S1O1,4.2369
Os1Ta1N2-,4.3204
Co1Mn1S1N1-,2.8194
Mo1Ni1O1C1-,3.6602
Co1Mn1S1N1+,2.8671
Mo1Ni1O1C1+,3.8661
Os1Ta1N2+,4.2026
Ag1Mn1S1C1+,2.7680
Ag1Mn1S1C1-,2.7104
